day;edam_ecne_eplu;edam_ecne_eplu_diff;edam_ecor_emcn;edam_ecor_emcn_diff;edam_emsg_eplu;edam_emsg_eplu_diff;edam_epdn_ecne;edam_epdn_ecne_diff;edam_epdn_emcn;edam_epdn_emcn_diff;eint_ecpn_emgl;eint_ecpn_emgl_diff;eint_esln_emgl;eint_esln_emgl_diff;eint_esln_espc;eint_esln_espc_diff;emeg_ecpn_emgl;emeg_ecpn_emgl_diff;emfn_ecor_ecri;emfn_ecor_ecri_diff;emfn_ecor_emcn;emfn_ecor_emcn_diff;emfn_emcn_epdn;emfn_emcn_epdn_diff;epdn_ecne_ecpn;epdn_ecne_ecpn_diff;epdn_eint_ecpn;epdn_eint_ecpn_diff;epdn_eint_espc;epdn_eint_espc_diff;epdn_emfn_espc;epdn_emfn_espc_diff;eplu_ecne_ecpn;eplu_ecne_ecpn_diff;eplu_emeg_ecpn;eplu_emeg_ecpn_diff;eplu_emeg_emal;eplu_emeg_emal_diff;eplu_emsg_emal;eplu_emsg_emal_diff
03/12/2018;1,351;2,949;7,936;0,004;0,748;1,246;-101,065;-1,59;-0,023;0,8365;-0,031;1,32;1,732;1,933;3,839;1,865;0,061;1,28;-9,346;0,473;-4,501;0,552;-0,177;0,6905;9,692;-1,10466667;-1,24;-0,698;-1,388;-1,0585;-0,933;0,4995;0,034;1,576;-4,038;-2,617;-2,126;-0,983;-3,165;-1,993
04/12/2018;-0,145;-0,0215;8,012;0,106;0,675;1,079;-101,081;-0,811;0,699;1,34;0,084;1,283;1,596;1,913;2,714;0,889;-0,061;1,206;-9,167;0,477;-4,743;-0,004;-0,046;0,577;10,009;-0,23533333;-1,069;-0,568;-2,411;-2,011;-1,138;0,216;-1,112;-0,358;-3,52;-1,921;-1,858;-0,805;-2,781;-1,656
05/12/2018;-0,192;-1,543;8,044;0,108;0,613;-0,135;-101,0185;0,0465;0,937;0,96;0,055;0,086;1,343;-0,389;2,594;-1,245;-0,205;-0,266;-9,168;0,178;-4,506;-0,005;0,32;0,497;10,084;0,392;-0,891;0,349;-2,314;-0,926;-1,007;-0,074;-1,1625;-1,1965;-3,249;0,789;-1,601;0,525;-2,58;0,585
06/12/2018;-0,239;-0,094;8,1;0,088;0,615;-0,06;-100,956;0,125;0,876;0,177;-0,149;-0,233;1,234;-0,362;2,337;-0,377;-0,429;-0,368;-9,294;-0,127;-4,323;0,42;0,386;0,432;10,159;0,15;-0,756;0,313;-2,255;0,156;-0,93;0,208;-1,213;-0,101;-3,09;0,43;-1,446;0,412;-2,208;0,573
07/12/2018;-0,423;-0,231;8,075;0,031;0,575;-0,038;-100,926;0,0925;1,942;1,005;-0,201;-0,256;0,855;-0,488;2,161;-0,433;-0,577;-0,372;-9,126;0,042;-4,443;0,063;0,989;0,669;10,236;0,152;-0,639;0,252;-1,692;0,622;-0,789;0,218;-1,409;-0,2465;-2,937;0,312;-1,218;0,383;-1,968;0,612
08/12/2018;-0,509;-0,27;7,887;-0,213;0,358;-0,257;-100,967;-0,011;2,026;1,15;-0,189;-0,04;0,397;-0,837;1,297;-1,04;-0,752;-0,323;-9,695;-0,401;-4,353;-0,03;1,27;0,884;10,004;-0,155;-0,317;0,439;-2,234;0,021;-0,618;0,312;-1,44;-0,227;-2,793;0,297;-1,203;0,243;-1,938;0,27
09/12/2018;-0,414;0,009;7,864;-0,211;0,267;-0,308;-100,923;0,003;1,641;-0,301;-0,405;-0,204;0,223;-0,632;1,037;-1,124;-0,929;-0,352;-9,904;-0,778;-4,31;0,133;1,055;0,066;10,318;0,082;-0,187;0,452;-2,027;-0,335;-0,751;0,038;-1,185;0,224;-2,702;0,235;-1,276;-0,058;-1,735;0,233
10/12/2018;-2,001;-1,492;7,726;-0,161;0,086;-0,272;-100,66;0,307;1,242;-0,784;-0,38;-0,191;0,14;-0,257;1,53;0,233;-0,815;-0,063;-9,575;0,12;-4,334;0,019;0,892;-0,378;10,319;0,315;-0,336;-0,019;-1,406;0,828;-0,764;-0,146;-2,493;-1,053;-2,253;0,54;-1,109;0,094;-1,372;0,566
11/12/2018;-3,258;-2,844;7,639;-0,225;-0,183;-0,45;-100,193;0,73;1,34;-0,301;-0,382;0,023;0,423;0,2;2,006;0,969;-0,549;0,38;-9,577;0,327;-4,347;-0,037;0,987;-0,068;10,864;0,546;-0,423;-0,236;-1,005;1,022;-0,782;-0,031;-3,331;-2,146;-1,572;1,13;-1,023;0,253;-1,163;0,572
12/12/2018;-3,551666667;-1,550666667;7,734;0,008;-0,136;-0,222;-100,0298333;0,6301667;1,617;0,375;-0,306;0,074;0,451;0,311;2,045;0,515;-0,136;0,679;-9,584;-0,009;-4,593;-0,259;0,825;-0,067;10,91516667;0,59616667;-0,562;-0,226;-0,799;0,607;-1,098;-0,334;-3,569666667;-1,076666667;-0,797;1,456;-0,629;0,48;-0,815;0,557
13/12/2018;-3,845333333;-0,587333333;7,857;0,218;-0,124;0,059;-99,86666667;0,32633333;1,316;-0,024;-0,128;0,254;0,431;0,008;1,884;-0,122;-0,068;0,481;-9,381;0,196;-4,7;-0,353;0,442;-0,545;10,96633333;0,10233333;-0,512;-0,089;-0,866;0,139;-1,151;-0,369;-3,808333333;-0,477333333;-0,759;0,813;-0,385;0,638;-0,517;0,646
14/12/2018;-4,139;-0,587333333;8,192;0,458;-0,148;-0,012;-99,7035;0,3263333;1,344666667;-0,272333333;0,054;0,36;0,525;0,074;1,96;-0,085;0,041;0,177;-9,406;0,178;-4,18;0,413;0,318333333;-0,506666667;11,0175;0,10233333;-0,334333333;0,227666667;-1,056333333;-0,257333333;-1,252666667;-0,154666667;-4,047;-0,477333333;-0,652;0,145;-0,23;0,399;-0,355;0,46
15/12/2018;-4,39;-0,544666667;8,168;0,311;-0,17;-0,046;-99,54033333;0,32633334;1,373333333;0,057333333;-0,028;0,1;0,421;-0,01;1,946;0,062;0,072;0,14;-9,133;0,248;-4,114;0,586;0,194666667;-0,247333333;11,06866667;0,10233334;-0,156666667;0,355333333;-1,246666667;-0,380666667;-1,354333333;-0,203333333;-4,2995;-0,491166667;-0,735;0,024;-0,189;0,196;-0,294;0,223
16/12/2018;-4,641;-0,502;8,324;0,132;-0,181;-0,033;-99,37716667;0,32633333;1,402;0,057333333;-0,109;-0,163;0,474;-0,051;1,513;-0,447;0,021;-0,02;-9,42;-0,014;-4,414;-0,234;0,071;-0,247333333;11,11983333;0,10233333;0,021;0,355333333;-1,437;-0,380666667;-1,456;-0,203333333;-4,552;-0,505;-0,649;0,003;-0,144;0,086;-0,103;0,252
17/12/2018;-4,892;-0,502;8,623;0,455;-0,3915;-0,2215;-99,214;0,32633333;2,153;0,779666667;0,037;0,065;0,605;0,184;1,775;-0,171;-0,494;-0,566;-9,62;-0,487;-5,1;-0,986;-0,221;-0,415666667;11,171;0,10233333;0,034;0,190666667;-0,846;0,400666667;-1,978;-0,623666667;-4,8045;-0,505;-0,9965;-0,2615;0,0895;0,2785;-0,1045;0,1895
18/12/2018;-5,143;-0,502;8,603;0,279;-0,602;-0,421;-98,634;0,74316667;2,217;0,815;0,028;0,137;0,732;0,258;1,168;-0,345;-2,205;-2,226;-9,499;-0,079;-5,189;-0,775;-0,264;-0,335;11,485;0,36516667;-0,038;-0,059;-1,206;0,231;-2,225;-0,769;-5,057;-0,505;-1,344;-0,695;0,323;0,467;-0,106;-0,003
19/12/2018;-4,64;0,252;8,558;-0,065;-0,447;-0,0555;-98,81;0,404;1,83;-0,323;-0,227;-0,264;0,766;0,161;1,224;-0,551;-2,104;-1,61;-9,197;0,423;-5,008;0,092;-0,257;-0,036;11,391;0,22;0,003;-0,031;-1,075;-0,229;-1,951;0,027;-4,678;0,1265;-1,275;-0,2785;0,39;0,3005;0,075;0,1795
20/12/2018;-3,807;1,336;8,784;0,181;-0,38;0,222;-99,226;-0,592;0,543;-1,674;-0,395;-0,423;0,75;0,018;1,308;0,14;-1,954;0,251;-8,591;0,908;-4,333;0,856;-0,575;-0,311;11,155;-0,33;0,206;0,244;-0,826;0,38;-1,58;0,645;-3,841;1,216;-1,258;0,086;0,407;0,084;0,088;0,194
21/12/2018;-3,098;1,542;8,678;0,12;-0,251;0,196;-99,168;-0,358;-0,16;-1,99;-0,547;-0,32;0,75;-0,016;1,56;0,336;-1,789;0,315;-8,462;0,735;-4,034;0,974;-0,615;-0,358;11,236;-0,155;0,247;0,244;-0,348;0,727;-1,412;0,539;-3,238;1,44;-1,264;0,011;0,403;0,013;0,091;0,016
22/12/2018;-2,473;1,334;8,592;-0,192;-0,024;0,356;-99,206;0,02;-0,392;-0,935;-0,768;-0,373;0,783;0,033;1,881;0,573;-1,765;0,189;-8,214;0,377;-3,999;0,334;-0,637;-0,062;11,31;0,155;0,382;0,176;0,039;0,865;-1,199;0,381;-2,689;1,152;-1,275;-0,017;0,389;-0,018;0,098;0,01
23/12/2018;-1,978;1,12;8,493;-0,185;0,048;0,299;-99,291;-0,123;-0,429;-0,269;-0,876;-0,329;0,896;0,146;2,31;0,75;-1,62;0,169;-8,02;0,442;-3,973;0,061;-0,506;0,109;11,409;0,173;0,306;0,059;0,401;0,749;-0,932;0,48;-2,204;1,034;-1,248;0,016;0,335;-0,068;0,064;-0,027
24/12/2018;6,944;9,417;7,118;-1,474;-0,135;-0,111;-85,642;13,564;-8,258;-7,866;-1,782;-1,014;-2,084;-2,867;1,808;-0,073;-7,776;-6,011;-6,928;1,286;-4,151;-0,152;-7,022;-6,385;14,097;2,787;34,56;34,178;16,79;16,751;1,351;2,55;7,89;10,579;1,241;2,516;-0,847;-1,236;-1,516;-1,614
25/12/2018;17,665;19,643;5,69;-2,803;-0,704;-0,752;-64,937;34,354;-19,973;-19,544;2,244;3,12;-7,476;-8,372;0,928;-1,382;-16,791;-15,171;-6,314;1,706;-3,15;0,823;-15,329;-14,823;11,25;-0,159;86,658;86,352;45,592;45,191;8,317;9,249;18,159;20,363;3,495;4,743;-2,889;-3,224;-3,849;-3,913
