day;evento;tipo_evento;edam_ecne_eplu;edam_ecne_eplu_diff;edam_ecor_emcn;edam_ecor_emcn_diff;edam_emsg_eplu;edam_emsg_eplu_diff;edam_epdn_ecne;edam_epdn_ecne_diff;edam_epdn_emcn;edam_epdn_emcn_diff;eint_ecpn_emgl;eint_ecpn_emgl_diff;eint_esln_emgl;eint_esln_emgl_diff;eint_esln_espc;eint_esln_espc_diff;emeg_ecpn_emgl;emeg_ecpn_emgl_diff;emfn_ecor_ecri;emfn_ecor_ecri_diff;emfn_ecor_emcn;emfn_ecor_emcn_diff;emfn_emcn_epdn;emfn_emcn_epdn_diff;epdn_ecne_ecpn;epdn_ecne_ecpn_diff;epdn_eint_ecpn;epdn_eint_ecpn_diff;epdn_eint_espc;epdn_eint_espc_diff;epdn_emfn_espc;epdn_emfn_espc_diff;eplu_ecne_ecpn;eplu_ecne_ecpn_diff;eplu_emeg_ecpn;eplu_emeg_ecpn_diff;eplu_emeg_emal;eplu_emeg_emal_diff;eplu_emsg_emal;eplu_emsg_emal_diff
30/01/2019;2;EA;62,6374;-0,0424;-8,006;-0,01;-2,197;0,183;7,4445;-0,5925;-43,264;2,15;27,524;0,244;-22,576;0,243;-0,472;-0,052;-36,952;0,485;11,862;-0,226;-3,277;-0,085;-28,243;1,485;-3,142;0,039;268,484;-5,024;139,673;-2,988;35,277;-0,984;60,5736;0,0294;15,751;0,858;-7,737;0,762;-10,23;0,557
31/01/2019;2;EA;62,6162;-0,0424;-8,092;-0,099;-2,202;0,096;7,14825;-0,5925;-42,269;2,016;27,649;0,261;-22,195;0,545;-0,532;-0,063;-36,702;0,549;12,03;-0,184;-3,339;-0,262;-27,369;1,346;-3,1225;0,039;266,593;-4,184;137,962;-3,048;34,892;-1,03;60,5883;0,0294;16,108;0,792;-7,374;0,728;-10,055;0,475
01/02/2019;2;EA;62,595;-0,0424;-7,718;0,288;-2,299;-0,102;6,852;-0,5925;-41,844;1,42;27,967;0,443;-22,285;0,291;-0,92;-0,448;-36,592;0,36;11,722;-0,14;-2,49;0,787;-26,431;1,812;-3,103;0,039;264,635;-3,849;136,449;-3,224;35,046;-0,231;60,603;0,0294;16,15;0,399;-7,023;0,714;-9,974;0,256
02/02/2019;2;EA;62,311;-0,3052;-8,077;0,015;-2,21;-0,008;5,81;-1,33825;-41,909;0,36;28,038;0,389;-22,303;-0,108;-1,034;-0,502;-36,694;0,008;11,851;-0,179;-2,684;0,655;-26,44;0,929;-1,998;1,1245;263,57;-3,023;135,947;-2,015;34,952;0,06;60,737;0,1487;15,95;-0,158;-6,924;0,45;-9,945;0,11
03/02/2019;2;EA;62,035;-0,56;-7,821;-0,103;-1,999;0,3;4,876;-1,976;-41,595;0,249;28,027;0,06;-22,34;-0,055;-1,269;-0,349;-36,81;-0,218;12,063;0,341;-2,677;-0,187;-26,43;0,001;-1,209;1,894;262,729;-1,906;135,373;-1,076;34,974;-0,072;60,719;0,116;15,999;-0,151;-6,718;0,305;-9,859;0,115
21/04/2019;0;;59,41033333;0,04266666;-8,126;-0,073;-0,547666667;0,019666666;0,936;0,317;-36,195;0,159;33,231;-0,005;-17,90742857;-0,04171428;-0,491428571;-0,011714285;-33,894;-0,225;19,618;0,169;-2,861;-0,293;-23,348;-0,196;9,748;0,611;266,423;0,504;135,305;0,312;37,194;-0,016;60,53133333;0,11066666;19,65833333;0,11466666;-4,423416667;0,046916666;-8,6885;0,0265
22/04/2019;0;;59,43166667;0,04266667;-9,279;-1,194;-0,537833333;0,019666667;0,803;-0,046;-36,656;-0,515;33,315;0,141;-17,92828571;-0,04171428;-0,497285714;-0,011714285;-33,978;-0,193;19,572;0,012;-3,198;-0,531;-23,066;0,044;10,062;0,553;266,921;0,812;135,863;0,79;37,511;0,281;60,58666667;0,11066667;19,71566667;0,11466667;-4,399958333;0,046916667;-8,67525;0,0265
23/04/2019;0;;59,453;0,04266667;-9,289;-1,163;-0,528;0,019666667;0,849;-0,087;-36,448;-0,253;33,344;0,113;-17,94914286;-0,04171429;-0,503142857;-0,011714286;-34,016;-0,122;20,157;0,539;-3,535;-0,674;-23,301;0,047;10,545;0,797;267,29;0,867;136,153;0,848;37,458;0,264;60,642;0,11066667;19,773;0,11466667;-4,3765;0,046916667;-8,662;0,0265
24/04/2019;0;;59,47433333;0,04266666;-9,18;0,099;-0,518166667;0,019666666;0,868;0,065;-36,472;0,184;33,347;0,032;-17,97;-0,04171429;-0,509;-0,011714286;-34,019;-0,041;20,251;0,679;-3,523;-0,325;-23,482;-0,416;10,846;0,784;267,501;0,58;136,411;0,548;37,506;-0,005;60,69733333;0,11066666;19,83033333;0,11466666;-4,353041667;0,046916666;-8,64875;0,0265
25/04/2019;0;;59,49566667;0,04266667;-9,155;0,134;-0,508333333;0,019666667;1,227;0,378;-36,155;0,293;33,442;0,098;-18,173;-0,22385714;-0,662;-0,158857143;-34,072;-0,056;20,346;0,189;-3,459;0,076;-23,278;0,023;11,18;0,635;267,795;0,505;136,612;0,459;37,478;0,02;60,75266667;0,11066667;19,88766667;0,11466667;-4,329583333;0,046916667;-8,6355;0,0265
