day;edam_ecne_eplu;edam_ecne_eplu_1d;edam_ecor_emcn;edam_ecor_emcn_1d;edam_emsg_eplu;edam_emsg_eplu_1d;edam_epdn_ecne;edam_epdn_ecne_1d;edam_epdn_emcn;edam_epdn_emcn_1d;eint_ecpn_emgl;eint_ecpn_emgl_1d;eint_esln_emgl;eint_esln_emgl_1d;eint_esln_espc;eint_esln_espc_1d;emeg_ecpn_emgl;emeg_ecpn_emgl_1d;emfn_ecor_ecri;emfn_ecor_ecri_1d;emfn_ecor_emcn;emfn_ecor_emcn_1d;emfn_emcn_epdn;emfn_emcn_epdn_1d;epdn_ecne_ecpn;epdn_ecne_ecpn_1d;epdn_eint_ecpn;epdn_eint_ecpn_1d;epdn_eint_espc;epdn_eint_espc_1d;epdn_emfn_espc;epdn_emfn_espc_1d;eplu_ecne_ecpn;eplu_ecne_ecpn_1d;eplu_emeg_ecpn;eplu_emeg_ecpn_1d;eplu_emeg_emal;eplu_emeg_emal_1d;eplu_emsg_emal;eplu_emsg_emal_1d
24/11/2018;-1,085;-0,266;7,836;-0,296;-0,321;-0,119;-99,808;-0,725;-0,386;-0,155;-0,964;-0,123;-0,33;0,009;1,636;-0,012;-1,76;-0,077;-10,754;1,098;-3,449;0,397;-0,028;0,182;9,151;-0,237;-0,337;-0,401;0,184;-0,244;-0,239;0,07;-1,83;-0,209;-2,23;-0,093;-1,359;0,005;-0,818;-0,161
25/11/2018;-0,746;0,339;4,38;-3,456;-0,538;-0,217;-99,904;-0,096;-0,576;-0,19;-1,054;-0,09;-0,454;-0,124;1,483;-0,153;-1,838;-0,078;-8,148;2,606;-7,03;-3,581;-0,16;-0,132;9,822;0,671;0,291;0,628;0,29;0,106;-0,218;0,021;-1,01;0,82;-1,966;0,264;-1,454;-0,095;-1,024;-0,206
26/11/2018;-0,459;0,287;4,899;0,519;-0,644;-0,106;-99,573;0,331;-0,764;-0,188;-1,157;-0,103;-0,056;0,398;1,771;0,288;-1,616;0,222;-7,39;0,758;-8,298;-1,268;-1,16;-1;10,249;0,427;0,569;0,278;0,087;-0,203;-1,354;-1,136;-0,433;0,577;-1,545;0,421;-1,436;0,018;-1,0414;-0,0174
27/11/2018;-0,63175;-0,17275;5,715;0,816;-0,63875;0,00525;-99,013;0,56;-0,329;0,435;-0,93;0,227;-0,166;-0,11;1,468;-0,303;-1,228;0,388;-10,383;-2,993;-8,052;0,246;-1,292;-0,132;11,09;0,841;0,626;0,057;-0,205;-0,292;-1,818;-0,464;-0,58475;-0,15175;-1,502;0,043;-1,418;0,018;-1,0588;-0,0174
28/11/2018;-0,8045;-0,17275;7,325;1,61;-0,6335;0,00525;-98,902;0,111;-0,939;-0,61;-1,063;-0,133;-0,316;-0,15;1,457;-0,011;-1,154;0,074;-10,491;-0,108;-6,91;1,142;-1,313;-0,021;11,17633333;0,086333333;-0,111;-0,737;-0,287;-0,082;-1,774;0,044;-0,7365;-0,15175;-1,459;0,043;-1,4;0,018;-1,0762;-0,0174
29/11/2018;-0,97725;-0,17275;7,664;0,339;-0,62825;0,00525;-98,791;0,111;-0,989;-0,05;-1,489;-0,426;-0,007;0,309;1,946;0,489;-1,123;0,031;-10,336;0,155;-6,071;0,839;-1,207;0,106;11,26266667;0,086333333;-0,767;-0,656;-0,511;-0,224;-1,699;0,075;-0,88825;-0,15175;-1,416;0,043;-1,382;0,018;-1,0936;-0,0174
30/11/2018;-1,15;-0,17275;7,754;0,09;-0,623;0,00525;-98,68;0,111;-1,078;-0,089;-1,447;0,042;-0,056;-0,049;2,042;0,096;-1,185;-0,062;-10,054;0,282;-5,431;0,64;-1,112;0,095;11,349;0,086333333;-0,583;0,184;-0,259;0,252;-1,511;0,188;-1,04;-0,15175;-1,373;0,043;-1,364;0,018;-1,111;-0,0174
01/12/2018;-1,598;-0,448;7,932;0,178;-0,498;0,125;-99,475;-0,795;-0,8595;0,2185;-1,351;0,096;-0,201;-0,145;1,974;-0,068;-1,219;-0,034;-9,819;0,235;-5,053;0,378;-0,8675;0,2445;10,79666667;-0,552333333;-0,542;0,041;-0,3295;-0,0705;-1,4325;0,0785;-1,542;-0,502;-1,421;-0,048;-1,143;0,221;-1,172;-0,061
02/12/2018;-0,1235;1,4745;7,906;-0,026;-0,404;0,094;-100,27;-0,795;-0,641;0,2185;-1,199;0,152;-0,317;-0,116;1,825;-0,149;-1,267;-0,048;-9,644;0,175;-4,739;0,314;-0,623;0,2445;10,24433333;-0,552333333;-0,501;0,041;-0,4;-0,0705;-1,354;0,0785;-0,754;0,788;-1,599;-0,178;-1,053;0,09;-1,125;0,047
03/12/2018;1,351;1,4745;7,936;0,03;0,748;1,152;-101,065;-0,795;-0,023;0,618;-0,031;1,168;1,732;2,049;3,839;2,014;0,061;1,328;-9,346;0,298;-4,501;0,238;-0,177;0,446;9,692;-0,552333333;-1,24;-0,739;-1,388;-0,988;-0,933;0,421;0,034;0,788;-4,038;-2,439;-2,126;-1,073;-3,165;-2,04
04/12/2018;-0,145;-1,496;8,012;0,076;0,675;-0,073;-101,081;-0,016;0,699;0,722;0,084;0,115;1,596;-0,136;2,714;-1,125;-0,061;-0,122;-9,167;0,179;-4,743;-0,242;-0,046;0,131;10,009;0,317;-1,069;0,171;-2,411;-1,023;-1,138;-0,205;-1,112;-1,146;-3,52;0,518;-1,858;0,268;-2,781;0,384
05/12/2018;-0,192;-0,047;8,044;0,032;0,613;-0,062;-101,0185;0,0625;0,937;0,238;0,055;-0,029;1,343;-0,253;2,594;-0,12;-0,205;-0,144;-9,168;-0,001;-4,506;0,237;0,32;0,366;10,084;0,075;-0,891;0,178;-2,314;0,097;-1,007;0,131;-1,1625;-0,0505;-3,249;0,271;-1,601;0,257;-2,58;0,201
06/12/2018;-0,239;-0,047;8,1;0,056;0,615;0,002;-100,956;0,0625;0,876;-0,061;-0,149;-0,204;1,234;-0,109;2,337;-0,257;-0,429;-0,224;-9,294;-0,126;-4,323;0,183;0,386;0,066;10,159;0,075;-0,756;0,135;-2,255;0,059;-0,93;0,077;-1,213;-0,0505;-3,09;0,159;-1,446;0,155;-2,208;0,372
07/12/2018;-0,423;-0,184;8,075;-0,025;0,575;-0,04;-100,926;0,03;1,942;1,066;-0,201;-0,052;0,855;-0,379;2,161;-0,176;-0,577;-0,148;-9,126;0,168;-4,443;-0,12;0,989;0,603;10,236;0,077;-0,639;0,117;-1,692;0,563;-0,789;0,141;-1,409;-0,196;-2,937;0,153;-1,218;0,228;-1,968;0,24
08/12/2018;-0,509;-0,086;7,887;-0,188;0,358;-0,217;-100,967;-0,041;2,026;0,084;-0,189;0,012;0,397;-0,458;1,297;-0,864;-0,752;-0,175;-9,695;-0,569;-4,353;0,09;1,27;0,281;10,004;-0,232;-0,317;0,322;-2,234;-0,542;-0,618;0,171;-1,44;-0,031;-2,793;0,144;-1,203;0,015;-1,938;0,03
09/12/2018;-0,414;0,095;7,864;-0,023;0,267;-0,091;-100,923;0,044;1,641;-0,385;-0,405;-0,216;0,223;-0,174;1,037;-0,26;-0,929;-0,177;-9,904;-0,209;-4,31;0,043;1,055;-0,215;10,318;0,314;-0,187;0,13;-2,027;0,207;-0,751;-0,133;-1,185;0,255;-2,702;0,091;-1,276;-0,073;-1,735;0,203
